Account Number,Loyalty_Score,bonus_usage_score,Total_Score,Final_Score_Percentage,Customer_Tier,CUSTOMER_TYPE
1002788,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002789,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002790,5.0,15,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002791,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002792,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1002793,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002794,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002795,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002796,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002797,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002798,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002799,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002800,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002801,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002802,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002803,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002804,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002805,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002806,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002807,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002808,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002809,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002810,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002811,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002812,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002813,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002814,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002815,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002816,20.0,20,40.0,100.0,Tier 1 Priority Service,Retail
1002817,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002818,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002819,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002820,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002821,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002822,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002823,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002824,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002825,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002826,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002827,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002828,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002829,5.0,15,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002830,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002831,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002832,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002833,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002834,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002835,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002836,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002837,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002838,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002839,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002840,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1002841,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002842,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002843,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002844,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002845,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002846,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002847,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002848,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002849,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002850,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002851,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002852,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002853,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002854,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002855,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002856,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002857,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002858,5.0,20,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002859,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002860,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002861,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002862,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002863,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002864,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1002865,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002866,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002867,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002868,15.0,10,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002869,15.0,10,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002870,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1002871,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002872,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002873,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1002874,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002875,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002876,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002877,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002878,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002879,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002880,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002881,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002882,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002883,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002884,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002885,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002886,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002887,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002888,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002889,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002890,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002891,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002892,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002893,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002894,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002895,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002896,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002897,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002898,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002899,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002900,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002901,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002902,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002903,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002904,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002905,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002906,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002907,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002908,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002909,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002910,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002911,20.0,15,35.0,87.5,Tier 1 Priority Service,Retail
1002912,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002913,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002914,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002915,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002916,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002917,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002918,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1002919,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002920,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002921,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002922,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002923,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002924,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002925,10.0,10,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002926,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1002927,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1002928,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002929,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1002930,10.0,10,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002931,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002932,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002933,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002934,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002935,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002936,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002937,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002938,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002939,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002940,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002941,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1002942,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002943,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002944,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002945,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002946,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002947,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002948,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002949,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002950,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002951,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002952,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002953,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002954,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1002955,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002956,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002957,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1002958,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002959,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002960,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002961,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002962,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002963,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002964,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002965,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002966,20.0,20,40.0,100.0,Tier 1 Priority Service,Retail
1002967,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002968,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002969,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002970,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002971,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002972,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002973,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002974,5.0,10,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1002975,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002976,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002977,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002978,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002979,20.0,15,35.0,87.5,Tier 1 Priority Service,Retail
1002980,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002981,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002982,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002983,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002984,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002985,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002986,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002987,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002988,5.0,15,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002989,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1002990,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002991,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002992,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002993,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002994,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1002995,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002996,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002997,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002998,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1002999,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003000,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003001,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003002,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003003,5.0,10,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1003004,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003005,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003006,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003007,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003008,5.0,20,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003009,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003010,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003011,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003012,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003013,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003014,15.0,10,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003015,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003016,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003017,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003018,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003019,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003020,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003021,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003022,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003023,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003024,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003025,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003026,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003027,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003028,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003029,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003030,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003031,5.0,15,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003032,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003033,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003034,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003035,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003036,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003037,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003038,15.0,10,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003039,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003040,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003041,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003042,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003043,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003044,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003045,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003046,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003047,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003048,5.0,10,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1003049,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003050,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003051,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003052,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003053,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003054,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003055,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003056,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003057,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003058,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003059,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003060,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003061,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003062,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003063,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003064,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003065,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1003066,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1003067,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1003068,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003069,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003070,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003071,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003072,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003073,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003074,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003075,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003076,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003077,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003078,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003079,10.0,10,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003080,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003081,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003082,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003083,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003084,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003085,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003086,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003087,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003088,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003089,15.0,10,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003090,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003091,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003092,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003093,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003094,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003095,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003096,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003097,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003098,5.0,5,10.0,25.0,Tier 4 Priority Service + Incentives,Retail
1003099,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003100,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003101,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003102,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003103,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003104,5.0,15,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003105,20.0,20,40.0,100.0,Tier 1 Priority Service,Retail
1003106,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003107,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003108,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003109,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003110,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003111,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003112,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003113,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003114,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003115,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003116,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003117,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003118,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1003119,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003120,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003121,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003122,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003123,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003124,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003125,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003126,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003127,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003128,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003129,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003130,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003131,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003132,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003133,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003134,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003135,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003136,20.0,20,40.0,100.0,Tier 1 Priority Service,Retail
1003137,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003138,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003139,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003140,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1003141,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003142,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003143,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003144,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1003145,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1003146,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
